layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
mlp_post_05_linear_pre,T_fro_norm,scalar,50000,0.7400250468881355,0.10135046031494228,0.12827568076620882,0.8602475988004854,0.8673892082499957,
mlp_post_05_linear_post,T_fro_norm,scalar,50000,0.7030496089072193,0.10745555737829918,0.13709465553233396,0.8384805430942959,0.8453696744279399,
enc_01_post,T_fro_norm,scalar,50000,0.6987496652081153,0.11167430618228323,0.13808367691792692,0.8359257954326842,0.8336329225655492,
mlp_post_07_linear_pre,T_fro_norm,scalar,50000,0.6912203643270259,0.10978943750074159,0.1397986247471791,0.8313967609803932,0.8370074117926589,
mlp_post_07_linear_post,T_fro_norm,scalar,50000,0.6652854395154191,0.11358761861435046,0.14555122885363048,0.8156503331315915,0.8221482327221394,
mlp_post_09_linear_post,T_fro_norm,scalar,50000,0.6374060099401924,0.11667550208326163,0.15149171236749562,0.7983771104450121,0.8096430453614585,
enc_00_post,T_fro_norm,scalar,50000,0.5946671916769621,0.13175531195283494,0.16017120863514026,0.7711632350894235,0.7633155294577422,
enc_00_post,purity_scalar,scalar,50000,0.9995276838450311,0.002744613869393782,0.003706619517200784,0.9997642977472547,0.8762048047609851,
enc_02_post,purity_scalar,scalar,50000,0.9650423477963878,0.02535933728606508,0.03188840055578546,0.9823656959642362,0.859272849360803,
enc_03_post,purity_scalar,scalar,50000,0.9627322787192022,0.026133697641328293,0.032925170108847567,0.9811892209328188,0.8592901550396725,
mlp_in_pre,purity_scalar,scalar,50000,0.9627322787192022,0.026133697641328293,0.032925170108847567,0.9811892209328188,0.8592901550396725,
mlp_fe0_post,purity_scalar,scalar,50000,0.9627249231317998,0.02613483459709961,0.03292841919423933,0.9811854723992259,0.8592819716367589,
mlp_fe0_pre,purity_scalar,scalar,50000,0.9627249002094211,0.026134830498055466,0.03292842931893445,0.9811854609900155,0.8592818790505654,
mlp_in_post,purity_scalar,scalar,50000,0.9627249002094211,0.026134830498055466,0.03292842931893445,0.9811854609900155,0.8592818790505654,
enc_01_post,purity_scalar,scalar,50000,0.9557240851046997,0.028225463906737285,0.03588767969006928,0.9776145260393774,0.8567877423796122,
